Name,SMILES,MolWt,LogP,HBD,HBA,Lipinski_Violations,Violation_Details,QED,SA_Score,Num_Rotatable_Bonds,Rotatable_Bond_Fraction,Fraction_Csp3,Ring_Count,Aromatic_Ring_Count,Heavy_Atom_Count,Bertz_Complexity,PAINS_Alert
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.31,1,3,0,None,0.5501217966938848,1.580039750008826,2.0,0.15384615384615385,0.1111111111111111,1.0,1.0,13.0,331.6,None
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.07,1,1,0,None,0.8215995486924975,2.1917554204925054,4.0,0.26666666666666666,0.46153846153846156,1.0,1.0,15.0,316.4,None
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.19,-1.03,0,6,0,None,0.5384628262372215,2.29798245679401,0.0,0.0,0.375,2.0,2.0,14.0,597.2,None
Metformin,CN(C)C(=N)NC(=N)N,129.17,-1.03,4,2,0,None,0.24878483893146577,3.6740720631696133,0.0,0.0,0.5,0.0,0.0,9.0,118.0,None
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.33,3.61,1,4,0,None,0.7476258148419598,2.6265332580943763,4.0,0.17391304347826086,0.15789473684210525,3.0,3.0,23.0,894.2,None
Celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,381.38,3.51,1,4,0,None,0.7541053298167572,2.144357116765935,3.0,0.11538461538461539,0.11764705882352941,3.0,3.0,26.0,997.1,None
Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1,474.59,1.61,1,8,0,None,0.5534046105187581,2.739511948408154,7.0,0.21212121212121213,0.5,4.0,3.0,33.0,1277.8,None
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,493.62,4.59,2,7,0,None,0.38941616262964607,2.3316597651325157,7.0,0.1891891891891892,0.2413793103448276,5.0,4.0,37.0,1318.3,None
AtorvastatinFragment,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,558.65,6.31,4,5,2,"MW > 500, LogP > 5",0.16276043934928294,3.3051871551990315,12.0,0.2926829268292683,0.2727272727272727,4.0,4.0,41.0,1427.7,None
PenicillinG,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,334.4,0.86,2,4,0,None,0.7977632704521287,3.200273387340024,4.0,0.17391304347826086,0.4375,3.0,1.0,23.0,631.3,None
